137: Ret: -43.32; Last 100 Avg Ret: -179.11; Var: 0.00000100; NE: 1.144; ACh: 0.490; ActLR: 0.00006250; EpCount0: 9; Solved: N
138: Ret: -99.38; Last 100 Avg Ret: -179.00; Var: 0.00000100; NE: 1.144; ACh: 0.490; ActLR: 0.00006250; EpCount0: 9; Solved: N
139: Ret: -161.98; Last 100 Avg Ret: -176.46; Var: 0.00000100; NE: 1.145; ACh: 0.490; ActLR: 0.00006250; EpCount0: 9; Solved: N
140: Ret: -184.44; Last 100 Avg Ret: -175.56; Var: 0.00000100; NE: 1.146; ACh: 0.490; ActLR: 0.00006250; EpCount0: 9; Solved: N
141: Ret: -41.78; Last 100 Avg Ret: -174.54; Var: 0.00000100; NE: 1.147; ACh: 0.490; ActLR: 0.00006250; EpCount0: 9; Solved: N
142: Ret: -174.22; Last 100 Avg Ret: -172.32; Var: 0.00000100; NE: 1.147; ACh: 0.490; ActLR: 0.00006250; EpCount0: 9; Solved: N
143: Ret: -83.31; Last 100 Avg Ret: -170.10; Var: 0.00000100; NE: 1.148; ACh: 0.490; ActLR: 0.00006250; EpCount0: 9; Solved: N
144: Ret: -56.16; Last 100 Avg Ret: -170.41; Var: 0.00000100; NE: 1.148; ACh: 0.490; ActLR: 0.00006250; EpCount0: 9; Solved: N
145: Ret: -82.28; Last 100 Avg Ret: -168.92; Var: 0.00000100; NE: 1.148; ACh: 0.490; ActLR: 0.00006250; EpCount0: 9; Solved: N
146: Ret: -190.54; Last 100 Avg Ret: -168.48; Var: 0.00000100; NE: 1.148; ACh: 0.490; ActLR: 0.00006250; EpCount0: 9; Solved: N
147: Ret: -48.95; Last 100 Avg Ret: -167.46; Var: 0.00000100; NE: 1.148; ACh: 0.490; ActLR: 0.00006250; EpCount0: 9; Solved: N
148: Ret: -235.28; Last 100 Avg Ret: -166.92; Var: 0.00000100; NE: 1.148; ACh: 0.490; ActLR: 0.00006250; EpCount0: 10; Solved: N
149: Ret: -56.98; Last 100 Avg Ret: -165.40; Var: 0.00000100; NE: 1.143; ACh: 0.490; ActLR: 0.00006250; EpCount0: 10; Solved: N
150: Ret: -60.46; Last 100 Avg Ret: -164.50; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 10; Solved: N
151: Ret: -105.71; Last 100 Avg Ret: -163.99; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 10; Solved: N
152: Ret: -63.50; Last 100 Avg Ret: -162.25; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 10; Solved: N
153: Ret: -77.54; Last 100 Avg Ret: -162.25; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 10; Solved: N
154: Ret: -71.20; Last 100 Avg Ret: -160.07; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 10; Solved: N
155: Ret: -130.15; Last 100 Avg Ret: -157.66; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 10; Solved: N
156: Ret: -277.73; Last 100 Avg Ret: -160.25; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 10; Solved: N
157: Ret: -66.20; Last 100 Avg Ret: -160.04; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 10; Solved: N
158: Ret: -215.21; Last 100 Avg Ret: -160.55; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 10; Solved: N
159: Ret: -310.17; Last 100 Avg Ret: -161.02; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 10; Solved: N
160: Ret: 1.89; Last 100 Avg Ret: -158.18; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 10; Solved: N
