114: Ret: -285.20; Last 100 Avg Ret: -199.19; Var: 0.00051606; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
115: Ret: -316.16; Last 100 Avg Ret: -201.09; Var: 0.00072537; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
116: Ret: -92.19; Last 100 Avg Ret: -200.86; Var: 0.00072537; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
117: Ret: -415.34; Last 100 Avg Ret: -203.77; Var: 0.00095240; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
118: Ret: -123.24; Last 100 Avg Ret: -202.13; Var: 0.00084285; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
119: Ret: -243.63; Last 100 Avg Ret: -203.41; Var: 0.00175565; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
120: Ret: -263.19; Last 100 Avg Ret: -205.18; Var: 0.00173087; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
121: Ret: -365.13; Last 100 Avg Ret: -206.72; Var: 0.00186989; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
122: Ret: -180.72; Last 100 Avg Ret: -207.42; Var: 0.00307214; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
123: Ret: -71.70; Last 100 Avg Ret: -203.73; Var: 0.00074116; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
124: Ret: -409.96; Last 100 Avg Ret: -207.89; Var: 0.00083806; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
125: Ret: -207.11; Last 100 Avg Ret: -207.37; Var: 0.00091240; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
126: Ret: -87.85; Last 100 Avg Ret: -207.55; Var: 0.00080908; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
127: Ret: -59.77; Last 100 Avg Ret: -207.60; Var: 0.00057373; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
128: Ret: -125.02; Last 100 Avg Ret: -206.94; Var: 0.00072447; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
129: Ret: -273.27; Last 100 Avg Ret: -205.61; Var: 0.00064004; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
130: Ret: -169.48; Last 100 Avg Ret: -204.43; Var: 0.00064004; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
131: Ret: -150.54; Last 100 Avg Ret: -204.11; Var: 0.00071435; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
132: Ret: -172.18; Last 100 Avg Ret: -202.67; Var: 0.00167532; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
133: Ret: -168.40; Last 100 Avg Ret: -199.45; Var: 0.00174997; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
