1350: Ret: -3.91; Last 100 Avg Ret: -126.11; Var: 0.00009566; NE: 1.142; ACh: 0.512; ActLR: 0.00006250; EpCount0: 84; Solved: N
1360: Ret: -141.10; Last 100 Avg Ret: -101.10; Var: 0.00148906; NE: 1.142; ACh: 0.584; ActLR: 0.00006250; EpCount0: 85; Solved: N
1370: Ret: -10.68; Last 100 Avg Ret: -66.04; Var: 0.00041557; NE: 1.142; ACh: 0.539; ActLR: 0.00006250; EpCount0: 86; Solved: N
1380: Ret: 179.45; Last 100 Avg Ret: -39.21; Var: 0.00008669; NE: 1.142; ACh: 0.511; ActLR: 0.00006250; EpCount0: 86; Solved: N
1390: Ret: -76.67; Last 100 Avg Ret: -26.25; Var: 0.00079489; NE: 1.142; ACh: 0.558; ActLR: 0.00006250; EpCount0: 87; Solved: N
1400: Ret: 138.70; Last 100 Avg Ret: -23.00; Var: 0.00052792; NE: 1.143; ACh: 0.545; ActLR: 0.00006250; EpCount0: 87; Solved: N
1410: Ret: 67.39; Last 100 Avg Ret: -12.66; Var: 0.00034860; NE: 1.142; ACh: 0.535; ActLR: 0.00006250; EpCount0: 88; Solved: N
1420: Ret: -4.42; Last 100 Avg Ret: -8.58; Var: 0.00015621; NE: 1.142; ACh: 0.519; ActLR: 0.00006250; EpCount0: 88; Solved: N
1430: Ret: 11.46; Last 100 Avg Ret: 3.15; Var: 0.00095873; NE: 1.142; ACh: 0.565; ActLR: 0.00006250; EpCount0: 89; Solved: N
1440: Ret: 108.00; Last 100 Avg Ret: 8.18; Var: 0.00086801; NE: 1.143; ACh: 0.562; ActLR: 0.00006250; EpCount0: 90; Solved: N
1450: Ret: -56.30; Last 100 Avg Ret: 15.52; Var: 0.00007235; NE: 1.142; ACh: 0.509; ActLR: 0.00006250; EpCount0: 90; Solved: N
1460: Ret: -109.28; Last 100 Avg Ret: 15.97; Var: 0.00115499; NE: 1.142; ACh: 0.573; ActLR: 0.00006250; EpCount0: 91; Solved: N
1470: Ret: -179.14; Last 100 Avg Ret: -6.81; Var: 0.00102702; NE: 1.142; ACh: 0.568; ActLR: 0.00006250; EpCount0: 91; Solved: N
1480: Ret: -195.63; Last 100 Avg Ret: -20.85; Var: 0.00015010; NE: 1.142; ACh: 0.518; ActLR: 0.00006250; EpCount0: 93; Solved: N
1490: Ret: -117.18; Last 100 Avg Ret: -32.23; Var: 0.00087864; NE: 1.142; ACh: 0.562; ActLR: 0.00006250; EpCount0: 93; Solved: N
1500: Ret: -134.95; Last 100 Avg Ret: -39.45; Var: 0.00074338; NE: 1.142; ACh: 0.556; ActLR: 0.00006250; EpCount0: 93; Solved: N
1510: Ret: -82.53; Last 100 Avg Ret: -47.36; Var: 0.00062210; NE: 1.142; ACh: 0.550; ActLR: 0.00006250; EpCount0: 93; Solved: N
1520: Ret: 223.49; Last 100 Avg Ret: -43.14; Var: 0.00070520; NE: 1.142; ACh: 0.554; ActLR: 0.00006250; EpCount0: 94; Solved: N
1530: Ret: -35.53; Last 100 Avg Ret: -51.26; Var: 0.00034182; NE: 1.143; ACh: 0.534; ActLR: 0.00006250; EpCount0: 94; Solved: N
1540: Ret: -117.30; Last 100 Avg Ret: -59.70; Var: 0.00064342; NE: 1.142; ACh: 0.551; ActLR: 0.00006250; EpCount0: 95; Solved: N
1550: Ret: 92.84; Last 100 Avg Ret: -56.86; Var: 0.00056713; NE: 1.143; ACh: 0.547; ActLR: 0.00006250; EpCount0: 95; Solved: N
1560: Ret: -41.07; Last 100 Avg Ret: -51.26; Var: 0.00055424; NE: 1.142; ACh: 0.547; ActLR: 0.00006250; EpCount0: 95; Solved: N
1570: Ret: 235.19; Last 100 Avg Ret: -22.48; Var: 0.00017863; NE: 1.142; ACh: 0.521; ActLR: 0.00006250; EpCount0: 96; Solved: N
1580: Ret: 154.55; Last 100 Avg Ret: -11.74; Var: 0.00063792; NE: 1.142; ACh: 0.551; ActLR: 0.00006250; EpCount0: 96; Solved: N
1590: Ret: 169.83; Last 100 Avg Ret: -1.15; Var: 0.00063346; NE: 1.142; ACh: 0.551; ActLR: 0.00006250; EpCount0: 97; Solved: N
1600: Ret: 155.67; Last 100 Avg Ret: 2.75; Var: 0.00012980; NE: 1.142; ACh: 0.516; ActLR: 0.00006250; EpCount0: 98; Solved: N
1610: Ret: 137.82; Last 100 Avg Ret: 17.73; Var: 0.00018222; NE: 1.142; ACh: 0.522; ActLR: 0.00006250; EpCount0: 98; Solved: N
1620: Ret: -227.81; Last 100 Avg Ret: 21.71; Var: 0.00000100; NE: 1.143; ACh: 0.490; ActLR: 0.00006250; EpCount0: 98; Solved: N
1630: Ret: 107.31; Last 100 Avg Ret: 28.18; Var: 0.00010427; NE: 1.142; ACh: 0.513; ActLR: 0.00006250; EpCount0: 99; Solved: N
1640: Ret: 237.45; Last 100 Avg Ret: 43.49; Var: 0.00006309; NE: 1.142; ACh: 0.508; ActLR: 0.00006250; EpCount0: 99; Solved: N
1650: Ret: 41.55; Last 100 Avg Ret: 52.07; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 99; Solved: N
1660: Ret: 184.11; Last 100 Avg Ret: 63.73; Var: 0.00003130; NE: 1.142; ACh: 0.502; ActLR: 0.00006250; EpCount0: 100; Solved: N
1670: Ret: 121.03; Last 100 Avg Ret: 60.91; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 100; Solved: N
1680: Ret: 236.49; Last 100 Avg Ret: 68.75; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 101; Solved: N
1690: Ret: 210.09; Last 100 Avg Ret: 78.73; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 101; Solved: N
