Start Switch CartPole (Decoupled Uncertainty: NE~Novelty, ACh~Variance). Episodes: 15000
Ep 10700 | INVERTED | R: 152 | Avg: 200.5 | NE: 1.52 | ACh: 0.0101 | LR: 0.000100 | TDsig: 13.85 | Unexpected: 0.25 | Expected: 10.07
Ep 10800 | INVERTED | R: 255 | Avg: 211.8 | NE: 1.47 | ACh: 0.0101 | LR: 0.000100 | TDsig: 10.35 | Unexpected: 0.23 | Expected: 7.01
Ep 10900 | INVERTED | R: 164 | Avg: 167.9 | NE: 1.53 | ACh: 0.0101 | LR: 0.000100 | TDsig: 1.55 | Unexpected: 0.26 | Expected: 9.60
Ep 11000 | INVERTED | R:  70 | Avg: 185.6 | NE: 1.51 | ACh: 0.0101 | LR: 0.000100 | TDsig: 20.00 | Unexpected: 0.25 | Expected: 7.95
Ep 11100 | INVERTED | R:  82 | Avg: 193.7 | NE: 1.50 | ACh: 0.0101 | LR: 0.000100 | TDsig: 20.00 | Unexpected: 0.24 | Expected: 8.05
Ep 11200 | INVERTED | R: 114 | Avg: 160.9 | NE: 1.48 | ACh: 0.0101 | LR: 0.000100 | TDsig: 11.52 | Unexpected: 0.24 | Expected: 10.94
Ep 11300 | INVERTED | R: 289 | Avg: 192.2 | NE: 1.46 | ACh: 0.0096 | LR: 0.000100 | TDsig: 20.00 | Unexpected: 0.23 | Expected: 4.70
Ep 11400 | INVERTED | R: 151 | Avg: 183.9 | NE: 1.49 | ACh: 0.0101 | LR: 0.000100 | TDsig: 20.00 | Unexpected: 0.24 | Expected: 7.11
Ep 11500 | INVERTED | R: 500 | Avg: 194.8 | NE: 1.45 | ACh: 0.0001 | LR: 0.000100 | TDsig: 20.00 | Unexpected: 0.22 | Expected: 0.63
Ep 11600 | INVERTED | R: 150 | Avg: 183.4 | NE: 1.49 | ACh: 0.0100 | LR: 0.000100 | TDsig: 20.00 | Unexpected: 0.24 | Expected: 5.76
Ep 11700 | INVERTED | R: 200 | Avg: 175.5 | NE: 1.52 | ACh: 0.0100 | LR: 0.000100 | TDsig: 20.00 | Unexpected: 0.25 | Expected: 5.31
Ep 11800 | INVERTED | R: 114 | Avg: 154.1 | NE: 1.52 | ACh: 0.0101 | LR: 0.000100 | TDsig: 12.41 | Unexpected: 0.25 | Expected: 10.70
Ep 11900 | INVERTED | R: 241 | Avg: 180.7 | NE: 1.51 | ACh: 0.0098 | LR: 0.000100 | TDsig: 20.00 | Unexpected: 0.25 | Expected: 4.90
Ep 12000 | INVERTED | R:  82 | Avg: 181.6 | NE: 1.50 | ACh: 0.0101 | LR: 0.000100 | TDsig: 12.99 | Unexpected: 0.24 | Expected: 8.95
Ep 12100 | INVERTED | R: 250 | Avg: 176.8 | NE: 1.50 | ACh: 0.0100 | LR: 0.000100 | TDsig: 20.00 | Unexpected: 0.25 | Expected: 6.08
Ep 12200 | INVERTED | R: 296 | Avg: 174.6 | NE: 1.50 | ACh: 0.0101 | LR: 0.000100 | TDsig: 5.08 | Unexpected: 0.24 | Expected: 10.77
Ep 12300 | INVERTED | R: 151 | Avg: 155.6 | NE: 1.53 | ACh: 0.0101 | LR: 0.000100 | TDsig: 20.00 | Unexpected: 0.26 | Expected: 7.22
Ep 12400 | INVERTED | R: 114 | Avg: 186.3 | NE: 1.52 | ACh: 0.0101 | LR: 0.000100 | TDsig: 14.06 | Unexpected: 0.25 | Expected: 8.80
Ep 12500 | INVERTED | R: 274 | Avg: 162.0 | NE: 1.56 | ACh: 0.0101 | LR: 0.000100 | TDsig: 20.00 | Unexpected: 0.27 | Expected: 7.42
Ep 12600 | INVERTED | R: 175 | Avg: 181.4 | NE: 1.53 | ACh: 0.0100 | LR: 0.000100 | TDsig: 20.00 | Unexpected: 0.26 | Expected: 5.52
Ep 12700 | INVERTED | R: 117 | Avg: 154.2 | NE: 1.52 | ACh: 0.0101 | LR: 0.000100 | TDsig: 20.00 | Unexpected: 0.25 | Expected: 6.52
Ep 12800 | INVERTED | R: 152 | Avg: 227.8 | NE: 1.50 | ACh: 0.0098 | LR: 0.000100 | TDsig: 20.00 | Unexpected: 0.24 | Expected: 4.91
Ep 12900 | INVERTED | R: 156 | Avg: 155.2 | NE: 1.52 | ACh: 0.0101 | LR: 0.000100 | TDsig: 7.55 | Unexpected: 0.25 | Expected: 11.52
Ep 13000 | INVERTED | R: 208 | Avg: 199.9 | NE: 1.52 | ACh: 0.0101 | LR: 0.000100 | TDsig: 2.80 | Unexpected: 0.25 | Expected: 12.80
Ep 13100 | INVERTED | R: 234 | Avg: 167.7 | NE: 1.53 | ACh: 0.0101 | LR: 0.000100 | TDsig: 20.00 | Unexpected: 0.26 | Expected: 6.62
Ep 13200 | INVERTED | R: 101 | Avg: 166.1 | NE: 1.50 | ACh: 0.0101 | LR: 0.000100 | TDsig: 6.40 | Unexpected: 0.24 | Expected: 12.39
Ep 13300 | INVERTED | R:  50 | Avg: 184.2 | NE: 1.48 | ACh: 0.0101 | LR: 0.000100 | TDsig: 8.04 | Unexpected: 0.23 | Expected: 12.01
Ep 13400 | INVERTED | R: 158 | Avg: 170.5 | NE: 1.48 | ACh: 0.0101 | LR: 0.000100 | TDsig: 14.23 | Unexpected: 0.23 | Expected: 7.00
Ep 13500 | INVERTED | R: 205 | Avg: 204.8 | NE: 1.51 | ACh: 0.0101 | LR: 0.000100 | TDsig: 16.07 | Unexpected: 0.25 | Expected: 9.14
Ep 13600 | INVERTED | R:  95 | Avg: 163.2 | NE: 1.54 | ACh: 0.0101 | LR: 0.000100 | TDsig: 7.98 | Unexpected: 0.26 | Expected: 9.45
Ep 13700 | INVERTED | R:  55 | Avg: 149.9 | NE: 1.52 | ACh: 0.0101 | LR: 0.000100 | TDsig: 1.97 | Unexpected: 0.26 | Expected: 11.81
Ep 13800 | INVERTED | R: 292 | Avg: 190.4 | NE: 1.50 | ACh: 0.0101 | LR: 0.000100 | TDsig: 20.00 | Unexpected: 0.24 | Expected: 6.75
Ep 13900 | INVERTED | R: 151 | Avg: 185.7 | NE: 1.49 | ACh: 0.0100 | LR: 0.000100 | TDsig: 20.00 | Unexpected: 0.24 | Expected: 5.70
Ep 14000 | INVERTED | R: 143 | Avg: 182.3 | NE: 1.50 | ACh: 0.0101 | LR: 0.000100 | TDsig: 11.72 | Unexpected: 0.25 | Expected: 9.71
Ep 14100 | INVERTED | R: 335 | Avg: 175.8 | NE: 1.53 | ACh: 0.0101 | LR: 0.000100 | TDsig: 10.18 | Unexpected: 0.26 | Expected: 8.31
Ep 14200 | INVERTED | R: 124 | Avg: 142.3 | NE: 1.51 | ACh: 0.0101 | LR: 0.000100 | TDsig: 6.92 | Unexpected: 0.25 | Expected: 9.14
Ep 14300 | INVERTED | R: 137 | Avg: 174.4 | NE: 1.51 | ACh: 0.0101 | LR: 0.000100 | TDsig: 13.21 | Unexpected: 0.25 | Expected: 11.69
Ep 14400 | INVERTED | R: 170 | Avg: 152.2 | NE: 1.55 | ACh: 0.0101 | LR: 0.000100 | TDsig: 19.00 | Unexpected: 0.27 | Expected: 8.45
Ep 14500 | INVERTED | R:  99 | Avg: 173.7 | NE: 1.54 | ACh: 0.0101 | LR: 0.000100 | TDsig: 5.53 | Unexpected: 0.26 | Expected: 9.55
Ep 14600 | INVERTED | R: 176 | Avg: 183.1 | NE: 1.49 | ACh: 0.0089 | LR: 0.000100 | TDsig: 20.00 | Unexpected: 0.24 | Expected: 4.37
Ep 14700 | INVERTED | R: 184 | Avg: 188.2 | NE: 1.51 | ACh: 0.0101 | LR: 0.000100 | TDsig: 13.63 | Unexpected: 0.25 | Expected: 10.05
Ep 14800 | INVERTED | R: 215 | Avg: 171.6 | NE: 1.52 | ACh: 0.0101 | LR: 0.000100 | TDsig: 4.07 | Unexpected: 0.25 | Expected: 10.70
