114: Ret: -162.97; Last 100 Avg Ret: -173.84; Var: 0.00094576; NE: 1.142; ACh: 0.565; ActLR: 0.00006250; EpCount0: 7; Solved: N
115: Ret: -88.62; Last 100 Avg Ret: -172.96; Var: 0.00095952; NE: 1.142; ACh: 0.565; ActLR: 0.00006250; EpCount0: 7; Solved: N
116: Ret: -131.50; Last 100 Avg Ret: -173.13; Var: 0.00096057; NE: 1.143; ACh: 0.565; ActLR: 0.00006250; EpCount0: 7; Solved: N
117: Ret: -101.90; Last 100 Avg Ret: -173.31; Var: 0.00096093; NE: 1.143; ACh: 0.565; ActLR: 0.00006250; EpCount0: 7; Solved: N
118: Ret: -196.35; Last 100 Avg Ret: -174.23; Var: 0.00096113; NE: 1.142; ACh: 0.565; ActLR: 0.00006250; EpCount0: 7; Solved: N
119: Ret: -188.12; Last 100 Avg Ret: -174.89; Var: 0.00096113; NE: 1.142; ACh: 0.565; ActLR: 0.00006250; EpCount0: 7; Solved: N
120: Ret: -121.71; Last 100 Avg Ret: -174.14; Var: 0.00094585; NE: 1.142; ACh: 0.565; ActLR: 0.00006250; EpCount0: 7; Solved: N
121: Ret: -87.53; Last 100 Avg Ret: -174.24; Var: 0.00095674; NE: 1.142; ACh: 0.565; ActLR: 0.00006250; EpCount0: 7; Solved: N
122: Ret: -144.17; Last 100 Avg Ret: -175.67; Var: 0.00096106; NE: 1.142; ACh: 0.565; ActLR: 0.00006250; EpCount0: 7; Solved: N
123: Ret: -81.29; Last 100 Avg Ret: -175.17; Var: 0.00094995; NE: 1.142; ACh: 0.565; ActLR: 0.00006250; EpCount0: 7; Solved: N
124: Ret: -126.11; Last 100 Avg Ret: -175.30; Var: 0.00094940; NE: 1.142; ACh: 0.565; ActLR: 0.00006250; EpCount0: 7; Solved: N
125: Ret: -70.50; Last 100 Avg Ret: -172.83; Var: 0.00096113; NE: 1.142; ACh: 0.565; ActLR: 0.00006250; EpCount0: 7; Solved: N
126: Ret: -183.28; Last 100 Avg Ret: -172.88; Var: 0.00095962; NE: 1.142; ACh: 0.565; ActLR: 0.00006250; EpCount0: 7; Solved: N
127: Ret: -93.07; Last 100 Avg Ret: -171.57; Var: 0.00096093; NE: 1.142; ACh: 0.565; ActLR: 0.00006250; EpCount0: 7; Solved: N
128: Ret: -43.41; Last 100 Avg Ret: -168.56; Var: 0.00096113; NE: 1.142; ACh: 0.565; ActLR: 0.00006250; EpCount0: 7; Solved: N
129: Ret: -101.04; Last 100 Avg Ret: -168.74; Var: 0.00093076; NE: 1.142; ACh: 0.564; ActLR: 0.00006250; EpCount0: 7; Solved: N
130: Ret: -198.83; Last 100 Avg Ret: -166.06; Var: 0.00092664; NE: 1.142; ACh: 0.564; ActLR: 0.00006250; EpCount0: 7; Solved: N
131: Ret: -34.37; Last 100 Avg Ret: -162.59; Var: 0.00094824; NE: 1.142; ACh: 0.565; ActLR: 0.00006250; EpCount0: 7; Solved: N
132: Ret: -128.12; Last 100 Avg Ret: -161.60; Var: 0.00096113; NE: 1.142; ACh: 0.565; ActLR: 0.00006250; EpCount0: 7; Solved: N
133: Ret: -62.57; Last 100 Avg Ret: -158.72; Var: 0.00093076; NE: 1.142; ACh: 0.564; ActLR: 0.00006250; EpCount0: 7; Solved: N
134: Ret: -273.02; Last 100 Avg Ret: -161.01; Var: 0.00096090; NE: 1.142; ACh: 0.565; ActLR: 0.00006250; EpCount0: 8; Solved: N
135: Ret: -280.11; Last 100 Avg Ret: -162.48; Var: 0.00033832; NE: 1.142; ACh: 0.534; ActLR: 0.00006250; EpCount0: 8; Solved: N
136: Ret: -210.61; Last 100 Avg Ret: -160.81; Var: 0.00096103; NE: 1.142; ACh: 0.565; ActLR: 0.00006250; EpCount0: 8; Solved: N
137: Ret: -104.07; Last 100 Avg Ret: -159.16; Var: 0.00093074; NE: 1.142; ACh: 0.564; ActLR: 0.00006250; EpCount0: 8; Solved: N
138: Ret: -130.87; Last 100 Avg Ret: -159.24; Var: 0.00092664; NE: 1.142; ACh: 0.564; ActLR: 0.00006250; EpCount0: 8; Solved: N
139: Ret: -136.85; Last 100 Avg Ret: -159.52; Var: 0.00095939; NE: 1.142; ACh: 0.565; ActLR: 0.00006250; EpCount0: 8; Solved: N
140: Ret: -151.47; Last 100 Avg Ret: -157.27; Var: 0.00096106; NE: 1.142; ACh: 0.565; ActLR: 0.00006250; EpCount0: 8; Solved: N
141: Ret: -79.55; Last 100 Avg Ret: -156.31; Var: 0.00096106; NE: 1.142; ACh: 0.565; ActLR: 0.00006250; EpCount0: 8; Solved: N
142: Ret: -124.67; Last 100 Avg Ret: -152.61; Var: 0.00096111; NE: 1.142; ACh: 0.565; ActLR: 0.00006250; EpCount0: 8; Solved: N
143: Ret: -46.78; Last 100 Avg Ret: -151.06; Var: 0.00096113; NE: 1.142; ACh: 0.565; ActLR: 0.00006250; EpCount0: 8; Solved: N
144: Ret: -130.84; Last 100 Avg Ret: -151.52; Var: 0.00094996; NE: 1.142; ACh: 0.565; ActLR: 0.00006250; EpCount0: 8; Solved: N
145: Ret: -38.86; Last 100 Avg Ret: -149.09; Var: 0.00095702; NE: 1.142; ACh: 0.565; ActLR: 0.00006250; EpCount0: 8; Solved: N
146: Ret: -220.15; Last 100 Avg Ret: -150.65; Var: 0.00096113; NE: 1.142; ACh: 0.565; ActLR: 0.00006250; EpCount0: 8; Solved: N
147: Ret: -268.07; Last 100 Avg Ret: -151.90; Var: 0.00096113; NE: 1.142; ACh: 0.565; ActLR: 0.00006250; EpCount0: 8; Solved: N
148: Ret: -447.47; Last 100 Avg Ret: -154.61; Var: 0.00095702; NE: 1.142; ACh: 0.565; ActLR: 0.00006250; EpCount0: 8; Solved: N
149: Ret: -246.38; Last 100 Avg Ret: -156.04; Var: 0.00096113; NE: 1.142; ACh: 0.565; ActLR: 0.00006250; EpCount0: 9; Solved: N
150: Ret: -100.19; Last 100 Avg Ret: -154.82; Var: 0.00093012; NE: 1.142; ACh: 0.564; ActLR: 0.00006250; EpCount0: 9; Solved: N
151: Ret: -360.61; Last 100 Avg Ret: -157.49; Var: 0.00095941; NE: 1.142; ACh: 0.565; ActLR: 0.00006250; EpCount0: 9; Solved: N
152: Ret: -117.82; Last 100 Avg Ret: -156.52; Var: 0.00096050; NE: 1.142; ACh: 0.565; ActLR: 0.00006250; EpCount0: 9; Solved: N
153: Ret: -73.67; Last 100 Avg Ret: -155.98; Var: 0.00091949; NE: 1.142; ACh: 0.564; ActLR: 0.00006250; EpCount0: 9; Solved: N
154: Ret: -231.06; Last 100 Avg Ret: -154.58; Var: 0.00095626; NE: 1.142; ACh: 0.565; ActLR: 0.00006250; EpCount0: 9; Solved: N
155: Ret: -126.03; Last 100 Avg Ret: -153.75; Var: 0.00093010; NE: 1.142; ACh: 0.564; ActLR: 0.00006250; EpCount0: 9; Solved: N
156: Ret: -86.09; Last 100 Avg Ret: -153.22; Var: 0.00096113; NE: 1.142; ACh: 0.565; ActLR: 0.00006250; EpCount0: 9; Solved: N
157: Ret: -179.12; Last 100 Avg Ret: -153.86; Var: 0.00096113; NE: 1.142; ACh: 0.565; ActLR: 0.00006250; EpCount0: 9; Solved: N
158: Ret: -225.14; Last 100 Avg Ret: -154.12; Var: 0.00093076; NE: 1.142; ACh: 0.564; ActLR: 0.00006250; EpCount0: 9; Solved: N
159: Ret: -300.54; Last 100 Avg Ret: -155.74; Var: 0.00096110; NE: 1.142; ACh: 0.565; ActLR: 0.00006250; EpCount0: 9; Solved: N
160: Ret: -327.43; Last 100 Avg Ret: -156.08; Var: 0.00096106; NE: 1.142; ACh: 0.565; ActLR: 0.00006250; EpCount0: 9; Solved: N
161: Ret: -62.58; Last 100 Avg Ret: -155.95; Var: 0.00096113; NE: 1.142; ACh: 0.565; ActLR: 0.00006250; EpCount0: 9; Solved: N
162: Ret: -157.51; Last 100 Avg Ret: -155.72; Var: 0.00096106; NE: 1.142; ACh: 0.565; ActLR: 0.00006250; EpCount0: 9; Solved: N
163: Ret: -79.12; Last 100 Avg Ret: -155.39; Var: 0.00093075; NE: 1.142; ACh: 0.564; ActLR: 0.00006250; EpCount0: 10; Solved: N
164: Ret: -281.41; Last 100 Avg Ret: -157.32; Var: 0.00093075; NE: 1.142; ACh: 0.564; ActLR: 0.00006250; EpCount0: 10; Solved: N
165: Ret: -198.83; Last 100 Avg Ret: -158.09; Var: 0.00073199; NE: 1.142; ACh: 0.555; ActLR: 0.00006250; EpCount0: 10; Solved: N
166: Ret: -114.71; Last 100 Avg Ret: -157.64; Var: 0.00093855; NE: 1.142; ACh: 0.564; ActLR: 0.00006250; EpCount0: 10; Solved: N
167: Ret: -330.29; Last 100 Avg Ret: -159.43; Var: 0.00095283; NE: 1.142; ACh: 0.565; ActLR: 0.00006250; EpCount0: 10; Solved: N
168: Ret: -112.83; Last 100 Avg Ret: -157.95; Var: 0.00096113; NE: 1.144; ACh: 0.565; ActLR: 0.00006250; EpCount0: 10; Solved: N
169: Ret: -418.03; Last 100 Avg Ret: -161.13; Var: 0.00093076; NE: 1.144; ACh: 0.564; ActLR: 0.00006250; EpCount0: 10; Solved: N
170: Ret: -144.82; Last 100 Avg Ret: -161.18; Var: 0.00092664; NE: 1.145; ACh: 0.564; ActLR: 0.00006250; EpCount0: 10; Solved: N
