Gym has been unmaintained since 2022 and does not support NumPy 2.0 amongst other critical functionality.
Please upgrade to Gymnasium, the maintained drop-in replacement of Gym, or contact the authors of your software and request that they upgrade.
Users of this version of Gym should be able to simply replace 'import gym' with 'import gymnasium as gym' in the vast majority of cases.
See the migration guide at https://gymnasium.farama.org/introduction/migration_guide/ for additional information.
/Users/a../Desktop/Icarus/.venv-tdstdp/lib/python3.11/site-packages/gym/utils/passive_env_checker.py:233: DeprecationWarning: `np.bool8` is a deprecated alias for `np.bool_`.  (Deprecated NumPy 1.24)
  if not isinstance(terminated, (bool, np.bool8)):
CUDA not available; falling back to CPU.
Input shape: (16, 17)
Initializing ll_std network..
1200: Ret: -311.49; Last 100 Avg Ret: -496.25; Var: 0.00340401; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
1210: Ret: -574.70; Last 100 Avg Ret: -497.39; Var: 0.00388225; NE: 1.144; ACh: 0.000; ActLR: 0.00006250; Solved: N
1220: Ret: -349.42; Last 100 Avg Ret: -495.26; Var: 0.01024991; NE: 1.142; ACh: 1.000; ActLR: 0.00100000; Solved: N
1230: Ret: -386.05; Last 100 Avg Ret: -503.47; Var: 0.01025208; NE: 1.142; ACh: 1.000; ActLR: 0.00100000; Solved: N
1240: Ret: -336.47; Last 100 Avg Ret: -503.26; Var: 0.00282782; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
1250: Ret: -322.52; Last 100 Avg Ret: -491.67; Var: 0.00282615; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
1260: Ret: -273.66; Last 100 Avg Ret: -477.50; Var: 0.00147771; NE: 1.143; ACh: 0.000; ActLR: 0.00006250; Solved: N
1270: Ret: -355.70; Last 100 Avg Ret: -465.44; Var: 0.00341697; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
1280: Ret: -549.29; Last 100 Avg Ret: -447.67; Var: 0.00157011; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
1290: Ret: -292.53; Last 100 Avg Ret: -425.61; Var: 0.00310745; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
1300: Ret: -607.27; Last 100 Avg Ret: -409.55; Var: 0.00123694; NE: 1.143; ACh: 0.000; ActLR: 0.00012500; Solved: N
