window_end_episode,mean_reward_rate,std_reward_rate
50950,85.700000,11.194195
51000,83.300000,12.857294
51050,82.200000,12.835887
51100,82.300000,13.195075
51150,81.900000,13.992498
51200,78.800000,16.216041
51250,77.700000,14.646160
51300,77.700000,14.550258
51350,76.000000,15.349267
51400,70.800000,17.565876
51450,71.800000,16.086019
51500,69.400000,17.018813
51550,72.600000,15.272197
51600,67.600000,16.918629
51650,67.600000,15.525463
51700,67.900000,15.792087
51750,66.000000,14.656057
51800,64.800000,11.702991
51850,62.000000,17.549929
51900,58.100000,15.066187
51950,60.200000,17.617037
52000,61.500000,14.097872
52050,58.500000,16.767528
52100,56.900000,15.459301
52150,57.500000,15.308494
52200,57.300000,13.917974
52250,58.100000,13.586390
52300,52.900000,14.106382
52350,57.200000,12.734206
52400,55.500000,12.375379
52450,54.900000,13.482952
52500,51.000000,13.030733
52550,51.600000,13.335666
52600,53.900000,8.751571
52650,51.100000,11.108105
52700,51.400000,9.189124
52750,51.300000,7.190967
52800,48.700000,9.257970
52850,52.000000,9.695360
52900,47.100000,11.445086
52950,49.300000,6.458328
53000,47.200000,9.195651
53050,49.100000,5.881326
53100,49.200000,7.467262
53150,48.000000,7.402702
53200,46.600000,8.027453
53250,49.500000,5.995832
53300,47.500000,6.568866
53350,49.700000,7.727225
53400,49.700000,5.487258
53450,49.100000,7.549172
